Group	Subject	Trial	Filename	Time	Hip_Z	Hip_X	Hip_Y	Knee_Z	Knee_X	Knee_Y	Ankle_Z	Ankle_X	Ankle_Y
BMC	1	1	g01s01t01.txt	0	-27.608371	0.203561	-2.368448	15.56567	2.511367	17.646819	6.761781	-11.965064	-7.870051
BMC	1	1	g01s01t01.txt	1	-27.405191	-0.091756	-2.854048	16.791735	2.769064	17.711016	6.88178	-11.447557	-7.68546
BMC	1	1	g01s01t01.txt	2	-27.273205	-0.327215	-3.454227	18.633604	2.935114	17.516894	6.284401	-10.102757	-7.215548
BMC	1	1	g01s01t01.txt	3	-27.210203	-0.544236	-4.058957	21.129716	2.925016	16.910154	4.468679	-7.940252	-6.415521
BMC	1	1	g01s01t01.txt	4	-27.195449	-0.805676	-4.539496	24.123713	2.779221	15.998159	1.525786	-5.367453	-5.440649
BMC	1	1	g01s01t01.txt	5	-27.175649	-1.16293	-4.84134	27.244381	2.683675	15.12958	-1.807421	-2.93101	-4.588909
BMC	1	1	g01s01t01.txt	6	-27.079911	-1.662175	-4.978902	30.127638	2.801666	14.486324	-4.827912	-0.952812	-4.016554
BMC	1	1	g01s01t01.txt	7	-26.861983	-2.352885	-4.972733	32.629048	3.098921	13.827854	-7.307212	0.452821	-3.521281
BMC	1	1	g01s01t01.txt	8	-26.538597	-3.224309	-4.868794	34.839827	3.352587	12.801578	-9.392953	1.283429	-2.778107
BMC	1	1	g01s01t01.txt	9	-26.16378	-4.144519	-4.757684	36.886565	3.379365	11.486847	-11.294164	1.719557	-1.740219
BMC	1	1	g01s01t01.txt	10	-25.764042	-4.941094	-4.740159	38.747481	3.142019	10.254269	-13.056813	1.964884	-0.542915
BMC	1	1	g01s01t01.txt	11	-25.340818	-5.483759	-4.892185	40.330575	2.736837	9.463897	-14.65385	2.193253	0.610618
BMC	1	1	g01s01t01.txt	12	-24.873869	-5.750718	-5.19023	41.572993	2.305608	9.232246	-16.084979	2.480567	1.567196
BMC	1	1	g01s01t01.txt	13	-24.331794	-5.797301	-5.505865	42.478259	1.933653	9.430314	-17.399866	2.818679	2.266132
BMC	1	1	g01s01t01.txt	14	-23.677467	-5.694078	-5.673046	43.069251	1.641692	9.820809	-18.613693	3.214817	2.684561
BMC	1	1	g01s01t01.txt	15	-22.89491	-5.520481	-5.623837	43.398655	1.414622	10.171505	-19.691738	3.678339	2.887793
