fatigue_score,acceleration,angular_velocity,body_orientation,ground_reaction_force,step_count,cadence,jump_height_cm,range_of_motion,impact_force,gait_symmetry,speed,training_duration,previous_injury_history,rest_period,repetition_count,workload_intensity,acc_rms,injury_risk
54.8318,-0.7181,-0.0038,-84.2362,585.6999,108,78.7004,28.3371,95.615,233.8411,0.9046,4.6569,62.6802,0,5.1179,31,4.754,0.9044,0
59.2241,1.9425,-0.4612,-42.1329,605.1571,121,71.2387,54.6651,116.0551,228.5928,0.8616,9.7373,68.1934,0,6.0456,27,4.7049,1.1847,0
47.615,0.5675,0.5089,19.0752,550.0607,90,78.7966,43.7352,48.9517,233.2825,0.9173,1.5446,89.8554,1,7.2662,36,5.6877,0.9,0
36.0396,-2.0979,0.2654,126.166,592.6405,90,88.4312,45.6024,39.2678,248.6914,0.8988,7.2113,69.3327,0,9.5789,27,6.7708,1.1466,0
55.0665,1.2078,0.2638,43.4657,564.9121,95,90.9639,40.9951,83.0956,607.5576,0.8454,9.9552,119.5893,0,6.2767,28,0.0,0.9003,0
52.5282,-1.1528,0.242,-172.0444,677.7369,94,78.5505,53.0813,68.9322,354.9152,0.6664,2.4861,117.9001,0,8.8458,41,3.7727,1.2053,0
52.7901,0.8934,0.5448,-70.2776,392.3451,85,79.1294,51.8539,59.862,228.822,0.6778,9.6299,78.9318,0,10.1912,32,5.7327,0.9906,0
36.1826,1.2922,-0.0777,131.3899,551.0619,90,61.6064,50.6208,99.779,401.7822,0.9149,3.6751,97.6603,0,8.307,43,4.2445,1.038,0
43.5978,0.1017,-0.6208,-93.5147,682.8189,104,82.7386,43.4846,79.3968,488.0014,0.9424,4.8258,140.9869,0,7.6805,36,7.0445,1.1599,0
40.6163,-0.9969,-0.1036,-47.5459,382.4416,85,77.3451,64.5916,58.9483,248.2239,0.8009,9.0137,60.4821,0,9.3368,26,1.6193,1.0522,0
53.9937,-0.7152,-0.8278,-39.7387,396.3334,82,79.0962,9.8691,78.4014,254.2165,0.9949,9.8785,90.7331,0,6.3984,33,5.6148,1.0802,0
54.3379,0.6293,-0.531,-124.397,578.6551,92,75.186,34.7219,113.932,120.2156,0.7181,3.628,53.8201,0,6.5229,39,3.9886,0.958,0
49.5651,-1.1355,0.8095,-54.0677,707.314,100,70.511,34.0408,53.5751,271.9528,0.8927,2.6446,97.5758,0,5.4426,31,5.1943,0.9473,0
59.6758,-0.5819,-0.5503,114.2715,479.8614,98,71.266,62.9195,70.6785,380.2103,0.8679,6.7107,26.6618,0,11.1791,30,4.4818,1.1278,0
64.9071,0.5129,-0.587,125.6738,514.3303,102,73.2332,39.2196,55.9008,266.3735,0.8986,6.9125,94.8092,1,9.1677,30,9.4101,0.9332,0
53.5306,-0.6512,0.3348,29.1231,554.5776,88,66.7324,30.5343,81.7934,196.3869,0.7664,1.0588,110.46,0,5.3075,23,6.4221,1.1504,0
56.7107,1.4208,0.4316,64.3463,426.9841,104,82.9143,53.4596,111.1748,151.1925,0.6977,6.8092,80.294,0,6.7363,37,5.7494,1.0553,0
44.5845,-1.0381,-0.8332,12.4462,829.0605,99,85.6046,66.0014,88.7289,331.1108,0.7619,7.6341,93.0836,0,8.3846,27,7.564,0.9117,1
42.7457,-3.2882,0.1244,-164.0619,361.3057,98,78.6225,64.7864,47.498,237.6867,0.6759,1.1798,56.7927,0,7.9185,28,9.3858,0.8765,0
60.0974,-0.7782,-0.2742,70.8066,513.5068,96,81.7672,68.5781,41.6251,502.717,0.6447,9.7979,94.9014,0,8.8232,35,6.678,1.1585,0
41.2526,0.3101,0.1653,178.7583,515.9176,95,77.705,52.3762,33.1597,305.3345,0.8737,6.013,117.0622,0,6.8486,30,5.7779,1.205,0
56.9706,0.8633,-0.1513,-97.9836,171.7445,93,91.4232,55.6145,105.659,222.2013,0.9943,7.2122,126.3379,0,10.1452,18,8.9642,1.0293,0
67.1947,-0.4084,-0.6828,173.5744,373.6523,101,80.5405,44.8133,72.4431,388.1424,0.8668,6.2257,76.4798,0,5.9217,30,5.8468,0.9075,0
56.5348,-0.2772,-0.2407,179.1985,297.172,116,82.7766,43.475,68.0469,504.063,0.6538,5.7853,61.1063,1,10.5945,24,5.9781,0.9085,0
49.1907,-0.0309,0.3129,-129.0547,608.0413,107,88.0359,30.5224,53.7695,480.6933,0.8086,3.586,45.98,0,8.068,27,5.2717,1.1976,0
36.5968,1.7419,0.9719,153.4087,246.0197,101,79.7613,63.8636,68.7081,208.0189,0.8417,4.3898,126.4961,1,5.1676,28,8.9656,0.9972,0
51.633,0.3788,0.1949,63.1917,641.2819,110,93.9312,14.0639,61.7172,173.5051,0.8943,8.5401,72.3223,0,8.1457,21,5.126,1.1352,0
60.091,-0.4928,-0.1955,-12.1061,323.0347,104,73.3534,23.8558,96.9361,170.5474,0.9102,7.5783,73.7611,0,6.3054,26,6.6427,1.1175,0
48.2104,2.0518,-0.5898,-55.9221,644.2279,102,97.2605,87.3422,93.6243,369.9254,0.6791,7.2794,22.7056,0,9.1202,27,9.7182,0.9394,0
60.2149,0.0112,-0.0792,46.7286,290.5317,94,78.0325,47.6847,70.1422,270.8372,0.7309,9.6394,80.3882,1,10.7954,28,8.6499,1.0787,0
53.6502,-2.0753,-0.1892,123.4032,563.6054,121,73.4738,52.801,88.8389,231.4923,0.8173,6.4487,173.5297,0,4.5196,30,6.8115,1.1165,0
52.9134,-1.3868,0.1529,-167.7232,640.271,86,64.3121,25.7568,83.0405,382.4902,0.6018,3.6164,146.895,0,9.2284,28,7.2124,1.1223,0
46.8321,0.5582,-0.0298,12.7664,585.9666,95,88.7153,59.7097,87.6934,212.0268,0.6793,7.1282,91.4756,0,7.8857,34,6.7881,1.1866,0
35.4396,-1.7772,0.2398,54.095,316.8322,88,76.3452,77.4883,98.3428,401.6224,0.9828,9.3432,130.7789,0,6.329,33,2.9604,1.0241,0
45.7489,0.4981,-0.1799,-170.7828,669.4657,109,81.4357,79.0133,38.2751,199.6081,0.7429,10.5856,70.0539,0,10.0513,34,5.5991,0.8853,0
45.6695,-0.78,0.8546,140.0679,581.8679,117,82.6125,19.67,104.8682,265.243,0.8982,5.9215,135.9002,0,8.4178,35,8.4918,0.8823,0
55.7544,1.1777,0.2919,162.6444,146.3221,106,75.1231,73.3705,55.4416,438.7125,0.7889,4.2896,96.4889,0,8.6053,38,6.4754,1.062,0
49.8478,0.1675,-0.3533,40.4969,516.604,101,90.734,50.2053,64.3473,312.4635,0.9996,10.1936,110.6142,0,9.4558,34,10.0535,1.1383,0
60.8317,-1.637,0.5006,-137.8796,925.0567,121,84.5488,-0.5377,54.8896,196.7528,0.9606,5.067,73.8246,0,8.8171,31,6.0709,0.9003,0
52.8135,0.9142,-0.578,155.6682,667.4722,89,71.4832,19.2015,104.4141,451.4852,0.7147,11.5755,105.5631,1,12.9037,29,7.739,1.1455,0
44.9565,1.3636,-0.4273,109.8026,425.1483,107,66.5586,12.3844,108.2794,413.4883,0.9211,5.1833,181.8563,0,10.8208,31,4.7276,1.1996,0
41.8512,-1.2768,-0.4005,-169.7226,581.6049,90,87.8125,62.0373,42.6424,443.864,0.8209,11.837,121.1542,1,4.453,38,4.9765,1.2047,0
43.9663,-0.8028,0.6642,28.4967,441.074,92,77.5892,46.2646,76.9809,129.1446,0.7222,1.1791,73.4942,0,10.4965,29,5.0159,1.1573,0
51.6077,0.5024,-0.0894,-138.7666,652.186,99,86.9791,36.9792,64.3604,329.9307,0.8061,4.1397,25.0645,0,7.5328,28,7.9912,0.8088,0
46.2721,0.6817,-0.3143,-129.2161,377.8695,98,77.5037,48.1035,46.3802,229.6326,0.7334,3.3322,68.9734,0,6.7742,24,4.6023,0.8086,0
39.2356,2.3532,0.0821,-110.6964,681.2861,95,82.1215,85.1275,80.0967,239.4714,0.6723,11.9255,92.8973,0,5.6234,33,4.5409,1.1836,0
60.0672,0.8909,0.271,-37.3721,638.0603,100,88.0542,44.1087,62.9037,364.2599,0.787,10.304,72.8418,0,10.9288,22,5.8963,0.849,0
51.5231,2.4008,0.7946,135.4978,596.3929,107,64.9879,56.5742,94.4028,124.9884,0.77,8.8586,93.86,0,5.4917,28,5.227,0.9138,0
52.7472,0.0194,-0.7485,-168.8129,810.6235,109,96.861,62.6076,105.2628,315.8373,0.7259,11.0122,84.5734,0,8.0962,27,5.9842,1.1626,1
41.7738,0.3836,0.6317,68.1159,650.8767,90,83.7563,25.7179,31.2178,453.325,0.8476,10.9878,120.729,0,10.2349,27,4.4358,0.9653,0
39.584,-0.5681,-1.0337,167.2383,653.2376,106,59.5597,61.2928,79.2924,314.5075,0.6513,2.383,35.3841,0,8.5214,25,5.5115,0.9192,0
48.3776,-0.5226,0.4531,50.844,668.9603,100,93.4812,68.3948,82.2769,409.3626,0.9893,4.095,86.6508,0,6.3214,44,3.0277,0.8706,0
29.7178,0.1471,0.5816,113.6178,607.0626,96,89.8867,70.0011,58.6288,312.0432,0.6848,0.5786,102.3287,0,7.5058,39,5.9302,1.157,0
57.7981,-0.5825,0.6075,144.638,569.6295,91,78.101,47.0779,102.2492,214.745,0.8451,3.7024,13.6201,0,7.1561,33,5.3614,1.0206,0
42.9598,-2.5641,0.2844,77.3272,398.4098,92,93.9576,68.7353,111.8617,492.9871,0.7607,8.5649,59.2306,0,6.72,27,8.8702,0.91,0
47.323,-0.6668,-0.5326,57.5434,400.4699,95,73.6122,59.8199,98.7796,280.7731,0.6039,8.5559,125.7266,0,10.0476,29,6.7483,1.0227,0
54.2692,1.0767,0.3735,-173.532,564.8076,110,78.6977,51.3576,77.465,174.0485,0.685,5.337,87.9263,0,5.962,30,6.6938,1.1824,0
47.7536,0.0728,-0.5338,6.8001,591.3805,93,103.4445,68.3152,31.0082,161.2572,0.8205,2.025,104.0786,0,8.458,32,5.894,0.8376,0
38.3163,0.0784,-0.4693,-11.0787,502.6737,101,85.2088,84.8857,67.9688,281.4223,0.7396,0.5442,64.9488,1,9.8716,30,4.5351,1.0265,0
65.057,-0.7634,-0.2281,8.174,427.7631,92,90.839,68.4667,92.439,387.4073,0.9345,2.9883,55.2084,0,5.7969,35,7.217,1.0514,0
34.6742,0.333,-0.1831,-24.3071,479.5838,92,88.1685,48.5136,44.3464,298.9103,0.8692,0.9956,89.4301,0,7.7659,30,4.5884,0.8552,0
27.6345,1.6587,0.1204,146.3607,492.0748,91,66.1423,40.2361,99.8224,150.2692,0.6627,11.8844,132.6357,0,7.3995,26,6.3265,1.0781,0
58.746,1.4007,-0.3477,140.0508,541.259,105,82.9907,60.5441,85.2178,308.3688,0.9741,1.7584,77.0447,0,9.3899,29,1.0521,1.11,0
35.4057,0.3659,0.1648,-134.7485,466.6772,121,82.0716,53.0857,59.8464,409.0924,0.6966,9.7453,88.2611,0,5.2157,28,6.4514,1.1069,0
62.5278,-0.8537,-0.6862,11.8414,674.8563,99,91.8582,72.4521,106.3668,287.2553,0.6243,4.4718,101.4809,1,11.159,24,5.5924,0.8744,0
53.7689,1.7672,0.0194,165.4412,483.3958,92,95.0092,30.9891,87.8805,445.6664,0.7944,7.4305,117.7728,0,9.4013,26,3.1033,1.0618,0
52.83,1.0592,-0.1362,35.5191,403.5023,100,92.8978,70.7407,57.312,216.4022,0.7751,6.4509,111.7058,0,5.1433,28,5.3738,1.0402,0
44.3097,-1.4808,0.5069,108.6006,487.8804,112,75.2692,22.0867,47.7565,389.7612,0.7964,0.6744,118.5748,0,6.7427,29,6.6253,0.9018,0
41.746,-1.7568,0.5572,-45.5904,334.7918,98,65.6292,46.4977,44.1236,348.4092,0.6289,10.8801,50.2174,0,9.2388,27,2.9542,0.8111,0
46.2375,-1.4254,-0.085,-44.1904,801.9984,100,84.9972,61.6652,118.8042,352.8209,0.7187,10.8046,93.7877,0,10.1862,45,8.0209,1.1915,0
41.2278,-0.4937,-0.9797,-62.7526,598.3273,88,79.1132,47.753,108.2052,344.5292,0.9687,3.5765,85.8688,0,6.4824,22,6.3888,1.1285,0
62.0767,0.9018,-0.7371,-172.1356,498.1063,100,69.4824,58.7768,91.9335,267.1136,0.9183,1.6013,73.3761,0,6.7411,23,6.3279,1.0883,0
42.5725,0.878,0.5619,152.9466,712.4686,92,73.0374,77.7133,72.3523,330.0196,0.6591,1.2179,72.2588,0,9.1463,32,7.7599,0.9349,0
55.0635,0.3407,-0.0717,-54.129,469.2433,114,79.4102,38.6564,106.3316,257.3065,0.7153,10.1359,126.5929,0,7.0072,34,6.4404,0.9944,0
60.0521,-0.1405,0.8746,-47.8483,494.9807,89,82.5817,21.9214,93.2882,327.4244,0.8988,7.0025,58.6508,0,6.5027,27,4.0667,1.0447,0
41.1882,2.3713,0.4483,93.4371,394.3773,78,74.4399,27.301,80.1521,329.1988,0.9432,4.4934,29.447,1,9.435,27,3.3117,0.8244,0
53.7659,0.034,0.1276,9.6815,358.9178,92,79.841,48.225,100.1892,276.6895,0.6561,4.0904,68.9927,0,8.4519,30,5.6433,1.0157,0
41.0612,-0.087,0.0643,-49.6648,531.6238,108,79.2707,74.9177,40.7312,285.7648,0.8386,6.5566,51.1858,0,13.177,28,4.7902,0.9797,0
48.2647,-0.5076,-0.5744,138.1023,659.6027,98,82.7485,43.7235,108.6968,157.1392,0.7756,3.264,114.1575,1,5.6571,30,4.9583,0.956,0
45.4137,2.212,-0.3157,117.1365,368.2599,86,70.2411,93.1186,41.507,305.2384,0.7943,0.2351,85.4156,0,4.7806,17,7.3665,1.0375,0
43.0456,0.7209,0.2081,171.6486,464.1091,103,73.0187,24.5739,111.3883,359.0731,0.9172,4.9804,111.8915,0,6.5128,27,7.421,0.9187,0
51.5779,-1.0345,-0.1725,50.7678,469.466,103,93.486,15.0264,49.7848,324.1508,0.8373,10.5129,68.7357,1,11.119,24,8.6715,0.8903,0
37.8588,-1.153,0.2341,68.4348,615.7323,91,77.4094,54.6868,64.947,314.2777,0.8229,9.6362,63.0349,0,8.7716,17,5.836,1.1302,0
59.2923,-1.68,0.5146,-63.1802,435.2847,117,84.7645,38.6654,98.4133,156.3814,0.7521,10.9391,129.0537,0,8.8578,43,3.7796,0.8959,0
39.1846,-0.0968,-0.0898,-144.1512,612.9687,106,67.8199,34.9498,40.2288,338.2281,0.7292,7.972,95.6776,1,9.1365,21,5.317,0.8864,0
37.3291,-1.4985,-0.2158,-141.87,607.3129,104,91.8774,50.4258,117.7251,177.0372,0.8918,0.5978,87.9802,1,6.3701,27,5.2099,0.8804,0
47.477,-1.1676,-0.4482,52.5386,400.7054,103,91.5158,25.3555,97.4205,224.8672,0.966,5.5989,80.3139,0,8.7178,38,7.4878,1.0484,0
46.275,1.0683,0.4174,-139.2222,456.0441,100,82.9889,60.9091,53.4461,184.6405,0.6102,0.255,60.2347,0,8.8333,17,4.8936,1.0014,0
53.5556,0.891,0.3768,146.3856,512.0721,99,73.8601,53.9101,109.8844,196.9311,0.7905,11.6369,76.667,0,10.1107,33,6.8463,1.0217,0
50.8483,1.4914,1.0935,73.3927,434.45,88,65.6373,42.8401,33.7305,314.2665,0.8268,8.1736,99.0393,1,8.0212,26,6.7055,1.0354,0
33.7264,-1.4703,0.0884,-98.5656,365.7724,95,102.7433,54.2187,30.979,164.6239,0.7135,0.1948,137.4797,0,6.6098,35,7.5778,0.854,0
59.8657,-1.0023,-0.0483,-79.4838,722.3615,105,75.9453,88.2457,59.131,176.7718,0.6353,11.5496,102.0852,0,7.1346,32,3.9416,0.9873,0
47.2266,-0.6286,0.2337,75.5905,232.6031,108,65.663,45.0808,39.1384,458.2262,0.6674,4.4755,42.6147,0,9.4532,24,3.8191,1.0713,0
52.4146,1.6401,-0.144,116.6832,534.9216,90,74.0333,40.1857,103.7932,486.6519,0.8829,1.7886,95.4015,0,4.7377,21,7.4823,0.8737,0
72.0216,0.0629,-0.4427,122.1948,704.68,96,83.993,63.4346,64.6064,399.4818,0.6874,8.7386,102.2436,0,7.438,29,5.5565,0.9219,1
62.8644,1.822,0.0444,36.3698,379.1442,98,67.5258,36.7327,85.764,270.0662,0.759,1.8333,133.8523,1,10.9933,24,5.0694,0.9283,0
52.1053,0.6274,0.2289,-124.1165,503.9526,93,74.0961,59.6265,104.0611,413.9884,0.6063,2.6603,110.0799,0,7.7077,28,8.1187,1.0905,0
36.2693,-0.1124,0.262,114.6094,635.4179,101,65.5906,66.4278,43.7694,353.4798,0.6681,1.0497,78.9727,0,11.4804,22,5.4827,0.8245,0
